23	FOXM1	2
23	RFC4	5
23	TIA1	21
23	CD86	3
23	BAD	4
23	KHSRP	20
23	RAD51B	2
23	HIST1H4I	2
23	POLE4	5
23	POLD3	7
23	FANCB	0.5
23	XIAP	7
23	PSMA1	18
23	MGMT	3
23	KDM4C	2
23	PSME2	22
23	DDB1	19
23	PSMD1	27
23	HMMR	0.9
23	E2F4	17
23	HIST1H2BD	1
23	CEP76	1
23	CASP3	12
23	PSMB7	38
23	SOS2	11
23	PSME3	19
23	ARHGEF39	0.8
23	UIMC1	9
23	MYC	23
23	SFPQ	41
23	PLXNA1	3
23	FANCD2	1
23	RAC1	116
23	USP10	16
23	FRS2	8
23	DYNLL2	18
23	E2F5	1
23	PPP2CB	37
23	NEO1	16
23	ABLIM3	5
23	GPNMB	69
23	SHC3	0.8
23	DPYSL4	0.8
23	PSEN2	6
23	E2F2	0.7
23	ERCC6	1
23	ARHGAP39	0.5
23	PPP1R13B	3
23	CCNA2	2
23	ITGA2	3
23	CAP1	143
23	COL6A6	0.7
23	F11R	5
23	PRELID3A	1
23	FAM175A	2
23	HRAS	4
23	RHOC	42
23	RGMB	2
23	MAPKAPK2	27
23	CHN2	0.9
23	ABL2	3
23	NEDD4	5
23	AKT1	7
23	ARHGAP15	0.9
23	RHOB	210
23	MYL12A	63
23	DYRK1A	11
23	MAP2K6	1
23	HNRNPA1	184
23	HSP90AB1	373
23	PSMF1	17
23	NINL	2
23	CDC20	2
23	PPP1R14A	8
23	PSMB4	60
23	GTF2H4	2
23	CENPS	0.9
23	AURKB	1
23	PSMD2	36
23	HMGN1	26
23	PRKCE	2
23	ITGA1	15
23	RND1	0.8
23	TGFBR2	94
23	LIN52	4
23	STAT3	30
23	CGN	0.6
23	GTF2F1	16
23	SCN3B	0.8
23	PDGFRB	39
23	SEMA7A	1
23	INO80B	1
23	SPRED2	9
23	UBE2M	15
23	FYN	12
23	BCL2	7
23	ARHGAP11A	1
23	ANP32A	11
23	PSMA3	22
23	PLXNA2	3
23	HIST2H2BE	4
23	PHLDA1	10
23	STAT5A	9
23	STUB1	4
23	RASA1	12
23	INO80C	1
23	PPP1CB	100
23	NEFL	1
23	POLR2L	10
23	SRC	10
23	BRCA1	1
23	FANCF	2
23	TCEA1	28
23	CHEK2	2
23	ABLIM2	0.6
23	ROCK1	14
23	ACTR2	76
23	PTPN12	20
23	CUL4B	15
23	GAS1	23
23	PRKCA	8
23	CEP78	2
23	PSMD3	18
23	EFNA3	0.5
23	PPP2CA	26
